news_content
"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, "
news_content
"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, "
news_content
"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, "
news_content
"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, "
news_content
"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, ,, eyi ti oun paapa fidirẹ mulẹ l'oju òpó ,, sọ pe oun mọ bi Boko Haram ṣe bẹrẹ. O sọ pe 'awọn oloṣelu lo ni ẹbi rẹ.' ,Ati wi pe jagidijagan oṣelu lo bẹrẹ Boko Haram. O ṣalaye pe awọn oloṣelu kan lo lo awọn ọmọ ẹgbẹ Boko Haram lati jawe olubori ninu eto idibo, ṣugbọn ti wọn ko ri ti wọn ro mọ lẹyin idibo, ti ko si si iṣẹ fun wọn mọ. O sọ pe bẹẹ na ni ọrọ ri fun ẹkùn Niger Delta pẹ̀lú wàhálà àwọn ajìjagbara tí wọ́n ń kojú lónìí.,Laipẹ yii naa ni Aarẹ Naijiria nigba kan, Oluṣẹgun Ọbasanjọ parọwa fun awọn oloṣelu lati maa lo awọn ọmọ bibi inu wọn fun jagidijagan oṣelu. O sọ ọrọ naa nibi eto kan kan to waye nilu London.,Eyi waye latari ibẹru ati ifoya pe o ṣeeṣe ki wahala ṣẹlẹ ni awọn agbegbe kan ni Naijiria lasiko eto idibo 2019.,Ṣe a le sọ pe eyi n fidi rẹ mulẹ pe lootọ ni awọn oloṣelu n lo janduku ṣaaju, lasiko ati lẹyin eto idibo?,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru.,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru. Igba miran, wọn a ba awọn dukia ẹgbẹ bẹ jẹ.,Lọjọ idibo waye, ọpọ igba ni iroyin ti jade nipa bi awọn janduku oloṣelu ṣe yabo ibudo, ti wọn yoo si ji apoti ibo salọ. Bakan naa ni wọn a maa dẹru ba awọn oludibo tabi tilẹ ṣe wọn ni ijamba. ,Eyi si maa n mu ki ọpọlọpọ eniyan ma a kopa ninu eto idibo nitori ibẹru pe nkan buruku le ṣẹlẹ si wọn.,Ọpọlọpọ awọn janduku naa ni ko ni iṣẹ ọwọ, okoowo tabi iṣẹ to n mu owo wọle fun wọn. Orisun atijẹ atimu wsn ko ṣẹyin ṣiṣe janduku. Ti eto idibo, oṣelu ba kasẹ nilẹ, wọn a di 'alainiṣẹ lọwọ.' ,Eyi si le mu ki ọpọlọpọ wọn sọ ole jija, tabi awọn ọna alumọkọrọyi mi i di orisun ọrọ aje wọn.,Lọdun 2018 ni iṣẹlẹ idigunjale kan waye nilu Ọffa, ni ipinlẹ Kwara. Iṣẹlẹ naa mu ẹmi awọn eniyan to niye lọ. ,Lẹyin iṣẹlẹ naa, ni ọwọ awọn ọlọpa tẹ awọn afurasi kan to sọ pe Aarẹ ile aṣofin àgbà Naijiria, Bukọla Saraki ni awọn n ṣiṣẹ fun, botilẹ jẹ wi pe iwadi kankan ko ti i fi mulẹ pe lootọ Saraki ni wọn n ṣiṣẹ fun. ,Ṣugbọn ohun kan to han sita faye ri ni pe janduku oloṣelu ni awọn afurasi ole ọhun.,O si ṣeeṣe ko jẹ wi pe nigba ti owo oloṣelu ko wọle fun wọn mọ, ni wọn gba oko olè lọ nitori atijẹ, ati atimu.,Eto idibo ọdun 2011 yọri si wahala ni ẹkùn Ariwa Naijiria. Awọn kan gbagbọ pe iyanjẹ ati mago-mago lo gbe Aarẹ nigba kan, Goodluck  Jonathan wọle sipo aarẹ, ti wọn si bẹrẹ si ni fa wahala. ,Ajọ to n woye nipa ẹtọ ọmọniyan ni Naijiria, , lọjọ keji ọjọ ti wọn kede esi ibo, ọjọ kẹtadinlogun, oṣu Kẹrin ni awọn ololufẹ Muhammadu Buhari bẹrẹ iwọde ni Ariwa Naijiria. ,Awọn ọdọ to n fa wahala lẹyin eto idibo ọdun 2011 ni Naijiria,Iwọde naa pada yọri si rogbodiyan ni ẹkùn naa, ti ọpọlọpọ ile, ile ijọsin, ile itaja ati awọn dukia mi si ti di bibajẹ tabi jijo ni ina. ,Awọn eniyan kan si padanu ẹmi wọn.,Ipaniyan naa ko yọ awọn ọdọ to n sinru ilu silẹ. Ni ipinlẹ Bauchi, awọn agunbanirọ to le ni maarun ni iroyin gbe e pe awọn onijagidija gan ọhun pa. Awọn agunbanirọ naa ba ajọ INEC ṣiṣẹ ninu eto idibo naa. ,Bakan naa ni ipinlẹ Kaduna. Janduku oṣelu yọri si ija ẹsin laarin awọn kristẹni ati musulumi. Ọpọ eniyan lo si tun padanu ẹmi ati dukia wọn.,Ṣaaju eto idibo naa ni iroyin gbe e pe awọn janduku oloṣelu yabo iwọde oṣelu ẹgbẹ APC ninu oṣu Kẹfa. Ọkan gboogi lara ọmọ ẹgbẹ, Ọpẹyẹmi Bamidele atawọn mi i fara gba ọta ibọn.,Ìṣẹlẹ iyinbon APC Ekiti : Ki gaan lo ṣẹlẹ?,Bakan naa ni eto idibo gomina to waye ni ipinlẹ Ọṣun, rogbodiyan waye, paapa lẹyin ti eto idibo naa waye ati lasiko atundi ibo.,Awọn janduku oṣelu ji apoti ibo lawọn ibi kan, awọn eniyan kan si farapa.,Pẹlu bi eto idibo gbogboogbo ọdun 2019 ṣe n bọ lọna ni Naijiria, ṣe kii ṣe pe asiko tun ti to fun awọn janduku oloṣelu lati tun ri iṣẹ sẹ? ,Ṣe awọn agbegbe to ti n ni iriri alaafia ko tun ni bọ si inu ibẹru ohun ti awọn onijagidijagan naa le ṣe lati de ipo, tabi fun oludije wọn lati de ipo?"
news_title,news_date,news_content
Àwọn ìgbà tí jándùkú òṣèlú tí wáyé ní Nàìjíríà,16 Bélú 2018,
news_title,news_date,news_content
Àwọn ìgbà tí jándùkú òṣèlú tí wáyé ní Nàìjíríà,16 Bélú 2018,"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, ,, eyi ti oun paapa fidirẹ mulẹ l'oju òpó ,, sọ pe oun mọ bi Boko Haram ṣe bẹrẹ. O sọ pe 'awọn oloṣelu lo ni ẹbi rẹ.' ,Ati wi pe jagidijagan oṣelu lo bẹrẹ Boko Haram. O ṣalaye pe awọn oloṣelu kan lo lo awọn ọmọ ẹgbẹ Boko Haram lati jawe olubori ninu eto idibo, ṣugbọn ti wọn ko ri ti wọn ro mọ lẹyin idibo, ti ko si si iṣẹ fun wọn mọ. O sọ pe bẹẹ na ni ọrọ ri fun ẹkùn Niger Delta pẹ̀lú wàhálà àwọn ajìjagbara tí wọ́n ń kojú lónìí.,Laipẹ yii naa ni Aarẹ Naijiria nigba kan, Oluṣẹgun Ọbasanjọ parọwa fun awọn oloṣelu lati maa lo awọn ọmọ bibi inu wọn fun jagidijagan oṣelu. O sọ ọrọ naa nibi eto kan kan to waye nilu London.,Eyi waye latari ibẹru ati ifoya pe o ṣeeṣe ki wahala ṣẹlẹ ni awọn agbegbe kan ni Naijiria lasiko eto idibo 2019.,Ṣe a le sọ pe eyi n fidi rẹ mulẹ pe lootọ ni awọn oloṣelu n lo janduku ṣaaju, lasiko ati lẹyin eto idibo?,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru.,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru. Igba miran, wọn a ba awọn dukia ẹgbẹ bẹ jẹ.,Lọjọ idibo waye, ọpọ igba ni iroyin ti jade nipa bi awọn janduku oloṣelu ṣe yabo ibudo, ti wọn yoo si ji apoti ibo salọ. Bakan naa ni wọn a maa dẹru ba awọn oludibo tabi tilẹ ṣe wọn ni ijamba. ,Eyi si maa n mu ki ọpọlọpọ eniyan ma a kopa ninu eto idibo nitori ibẹru pe nkan buruku le ṣẹlẹ si wọn.,Ọpọlọpọ awọn janduku naa ni ko ni iṣẹ ọwọ, okoowo tabi iṣẹ to n mu owo wọle fun wọn. Orisun atijẹ atimu wsn ko ṣẹyin ṣiṣe janduku. Ti eto idibo, oṣelu ba kasẹ nilẹ, wọn a di 'alainiṣẹ lọwọ.' ,Eyi si le mu ki ọpọlọpọ wọn sọ ole jija, tabi awọn ọna alumọkọrọyi mi i di orisun ọrọ aje wọn.,Lọdun 2018 ni iṣẹlẹ idigunjale kan waye nilu Ọffa, ni ipinlẹ Kwara. Iṣẹlẹ naa mu ẹmi awọn eniyan to niye lọ. ,Lẹyin iṣẹlẹ naa, ni ọwọ awọn ọlọpa tẹ awọn afurasi kan to sọ pe Aarẹ ile aṣofin àgbà Naijiria, Bukọla Saraki ni awọn n ṣiṣẹ fun, botilẹ jẹ wi pe iwadi kankan ko ti i fi mulẹ pe lootọ Saraki ni wọn n ṣiṣẹ fun. ,Ṣugbọn ohun kan to han sita faye ri ni pe janduku oloṣelu ni awọn afurasi ole ọhun.,O si ṣeeṣe ko jẹ wi pe nigba ti owo oloṣelu ko wọle fun wọn mọ, ni wọn gba oko olè lọ nitori atijẹ, ati atimu.,Eto idibo ọdun 2011 yọri si wahala ni ẹkùn Ariwa Naijiria. Awọn kan gbagbọ pe iyanjẹ ati mago-mago lo gbe Aarẹ nigba kan, Goodluck  Jonathan wọle sipo aarẹ, ti wọn si bẹrẹ si ni fa wahala. ,Ajọ to n woye nipa ẹtọ ọmọniyan ni Naijiria, , lọjọ keji ọjọ ti wọn kede esi ibo, ọjọ kẹtadinlogun, oṣu Kẹrin ni awọn ololufẹ Muhammadu Buhari bẹrẹ iwọde ni Ariwa Naijiria. ,Awọn ọdọ to n fa wahala lẹyin eto idibo ọdun 2011 ni Naijiria,Iwọde naa pada yọri si rogbodiyan ni ẹkùn naa, ti ọpọlọpọ ile, ile ijọsin, ile itaja ati awọn dukia mi si ti di bibajẹ tabi jijo ni ina. ,Awọn eniyan kan si padanu ẹmi wọn.,Ipaniyan naa ko yọ awọn ọdọ to n sinru ilu silẹ. Ni ipinlẹ Bauchi, awọn agunbanirọ to le ni maarun ni iroyin gbe e pe awọn onijagidija gan ọhun pa. Awọn agunbanirọ naa ba ajọ INEC ṣiṣẹ ninu eto idibo naa. ,Bakan naa ni ipinlẹ Kaduna. Janduku oṣelu yọri si ija ẹsin laarin awọn kristẹni ati musulumi. Ọpọ eniyan lo si tun padanu ẹmi ati dukia wọn.,Ṣaaju eto idibo naa ni iroyin gbe e pe awọn janduku oloṣelu yabo iwọde oṣelu ẹgbẹ APC ninu oṣu Kẹfa. Ọkan gboogi lara ọmọ ẹgbẹ, Ọpẹyẹmi Bamidele atawọn mi i fara gba ọta ibọn.,Ìṣẹlẹ iyinbon APC Ekiti : Ki gaan lo ṣẹlẹ?,Bakan naa ni eto idibo gomina to waye ni ipinlẹ Ọṣun, rogbodiyan waye, paapa lẹyin ti eto idibo naa waye ati lasiko atundi ibo.,Awọn janduku oṣelu ji apoti ibo lawọn ibi kan, awọn eniyan kan si farapa.,Pẹlu bi eto idibo gbogboogbo ọdun 2019 ṣe n bọ lọna ni Naijiria, ṣe kii ṣe pe asiko tun ti to fun awọn janduku oloṣelu lati tun ri iṣẹ sẹ? ,Ṣe awọn agbegbe to ti n ni iriri alaafia ko tun ni bọ si inu ibẹru ohun ti awọn onijagidijagan naa le ṣe lati de ipo, tabi fun oludije wọn lati de ipo?"
news_title,news_date,news_content
Àwọn ìgbà tí jándùkú òṣèlú tí wáyé ní Nàìjíríà,16 Bélú 2018,"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, ,, eyi ti oun paapa fidirẹ mulẹ l'oju òpó ,, sọ pe oun mọ bi Boko Haram ṣe bẹrẹ. O sọ pe 'awọn oloṣelu lo ni ẹbi rẹ.' ,Ati wi pe jagidijagan oṣelu lo bẹrẹ Boko Haram. O ṣalaye pe awọn oloṣelu kan lo lo awọn ọmọ ẹgbẹ Boko Haram lati jawe olubori ninu eto idibo, ṣugbọn ti wọn ko ri ti wọn ro mọ lẹyin idibo, ti ko si si iṣẹ fun wọn mọ. O sọ pe bẹẹ na ni ọrọ ri fun ẹkùn Niger Delta pẹ̀lú wàhálà àwọn ajìjagbara tí wọ́n ń kojú lónìí.,Laipẹ yii naa ni Aarẹ Naijiria nigba kan, Oluṣẹgun Ọbasanjọ parọwa fun awọn oloṣelu lati maa lo awọn ọmọ bibi inu wọn fun jagidijagan oṣelu. O sọ ọrọ naa nibi eto kan kan to waye nilu London.,Eyi waye latari ibẹru ati ifoya pe o ṣeeṣe ki wahala ṣẹlẹ ni awọn agbegbe kan ni Naijiria lasiko eto idibo 2019.,Ṣe a le sọ pe eyi n fidi rẹ mulẹ pe lootọ ni awọn oloṣelu n lo janduku ṣaaju, lasiko ati lẹyin eto idibo?,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru.,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru. Igba miran, wọn a ba awọn dukia ẹgbẹ bẹ jẹ.,Lọjọ idibo waye, ọpọ igba ni iroyin ti jade nipa bi awọn janduku oloṣelu ṣe yabo ibudo, ti wọn yoo si ji apoti ibo salọ. Bakan naa ni wọn a maa dẹru ba awọn oludibo tabi tilẹ ṣe wọn ni ijamba. ,Eyi si maa n mu ki ọpọlọpọ eniyan ma a kopa ninu eto idibo nitori ibẹru pe nkan buruku le ṣẹlẹ si wọn.,Ọpọlọpọ awọn janduku naa ni ko ni iṣẹ ọwọ, okoowo tabi iṣẹ to n mu owo wọle fun wọn. Orisun atijẹ atimu wsn ko ṣẹyin ṣiṣe janduku. Ti eto idibo, oṣelu ba kasẹ nilẹ, wọn a di 'alainiṣẹ lọwọ.' ,Eyi si le mu ki ọpọlọpọ wọn sọ ole jija, tabi awọn ọna alumọkọrọyi mi i di orisun ọrọ aje wọn.,Lọdun 2018 ni iṣẹlẹ idigunjale kan waye nilu Ọffa, ni ipinlẹ Kwara. Iṣẹlẹ naa mu ẹmi awọn eniyan to niye lọ. ,Lẹyin iṣẹlẹ naa, ni ọwọ awọn ọlọpa tẹ awọn afurasi kan to sọ pe Aarẹ ile aṣofin àgbà Naijiria, Bukọla Saraki ni awọn n ṣiṣẹ fun, botilẹ jẹ wi pe iwadi kankan ko ti i fi mulẹ pe lootọ Saraki ni wọn n ṣiṣẹ fun. ,Ṣugbọn ohun kan to han sita faye ri ni pe janduku oloṣelu ni awọn afurasi ole ọhun.,O si ṣeeṣe ko jẹ wi pe nigba ti owo oloṣelu ko wọle fun wọn mọ, ni wọn gba oko olè lọ nitori atijẹ, ati atimu.,Eto idibo ọdun 2011 yọri si wahala ni ẹkùn Ariwa Naijiria. Awọn kan gbagbọ pe iyanjẹ ati mago-mago lo gbe Aarẹ nigba kan, Goodluck  Jonathan wọle sipo aarẹ, ti wọn si bẹrẹ si ni fa wahala. ,Ajọ to n woye nipa ẹtọ ọmọniyan ni Naijiria, , lọjọ keji ọjọ ti wọn kede esi ibo, ọjọ kẹtadinlogun, oṣu Kẹrin ni awọn ololufẹ Muhammadu Buhari bẹrẹ iwọde ni Ariwa Naijiria. ,Awọn ọdọ to n fa wahala lẹyin eto idibo ọdun 2011 ni Naijiria,Iwọde naa pada yọri si rogbodiyan ni ẹkùn naa, ti ọpọlọpọ ile, ile ijọsin, ile itaja ati awọn dukia mi si ti di bibajẹ tabi jijo ni ina. ,Awọn eniyan kan si padanu ẹmi wọn.,Ipaniyan naa ko yọ awọn ọdọ to n sinru ilu silẹ. Ni ipinlẹ Bauchi, awọn agunbanirọ to le ni maarun ni iroyin gbe e pe awọn onijagidija gan ọhun pa. Awọn agunbanirọ naa ba ajọ INEC ṣiṣẹ ninu eto idibo naa. ,Bakan naa ni ipinlẹ Kaduna. Janduku oṣelu yọri si ija ẹsin laarin awọn kristẹni ati musulumi. Ọpọ eniyan lo si tun padanu ẹmi ati dukia wọn.,Ṣaaju eto idibo naa ni iroyin gbe e pe awọn janduku oloṣelu yabo iwọde oṣelu ẹgbẹ APC ninu oṣu Kẹfa. Ọkan gboogi lara ọmọ ẹgbẹ, Ọpẹyẹmi Bamidele atawọn mi i fara gba ọta ibọn.,Ìṣẹlẹ iyinbon APC Ekiti : Ki gaan lo ṣẹlẹ?,Bakan naa ni eto idibo gomina to waye ni ipinlẹ Ọṣun, rogbodiyan waye, paapa lẹyin ti eto idibo naa waye ati lasiko atundi ibo.,Awọn janduku oṣelu ji apoti ibo lawọn ibi kan, awọn eniyan kan si farapa.,Pẹlu bi eto idibo gbogboogbo ọdun 2019 ṣe n bọ lọna ni Naijiria, ṣe kii ṣe pe asiko tun ti to fun awọn janduku oloṣelu lati tun ri iṣẹ sẹ? ,Ṣe awọn agbegbe to ti n ni iriri alaafia ko tun ni bọ si inu ibẹru ohun ti awọn onijagidijagan naa le ṣe lati de ipo, tabi fun oludije wọn lati de ipo?"
news_title,news_date,news_content
Àwọn ìgbà tí jándùkú òṣèlú tí wáyé ní Nàìjíríà,16 Bélú 2018,"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, "
news_content
"Atiku, ninu ifọrọwanilẹnuwo kan pẹlu iwe iroyin ori ayelujara, ,, eyi ti oun paapa fidirẹ mulẹ l'oju òpó ,, sọ pe oun mọ bi Boko Haram ṣe bẹrẹ. O sọ pe 'awọn oloṣelu lo ni ẹbi rẹ.' ,Ati wi pe jagidijagan oṣelu lo bẹrẹ Boko Haram. O ṣalaye pe awọn oloṣelu kan lo lo awọn ọmọ ẹgbẹ Boko Haram lati jawe olubori ninu eto idibo, ṣugbọn ti wọn ko ri ti wọn ro mọ lẹyin idibo, ti ko si si iṣẹ fun wọn mọ. O sọ pe bẹẹ na ni ọrọ ri fun ẹkùn Niger Delta pẹ̀lú wàhálà àwọn ajìjagbara tí wọ́n ń kojú lónìí.,Laipẹ yii naa ni Aarẹ Naijiria nigba kan, Oluṣẹgun Ọbasanjọ parọwa fun awọn oloṣelu lati maa lo awọn ọmọ bibi inu wọn fun jagidijagan oṣelu. O sọ ọrọ naa nibi eto kan kan to waye nilu London.,Eyi waye latari ibẹru ati ifoya pe o ṣeeṣe ki wahala ṣẹlẹ ni awọn agbegbe kan ni Naijiria lasiko eto idibo 2019.,Ṣe a le sọ pe eyi n fidi rẹ mulẹ pe lootọ ni awọn oloṣelu n lo janduku ṣaaju, lasiko ati lẹyin eto idibo?,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru.,Awọn janduku yii lọpọ igba maa n da eto ipolongo ibo tabi iwọde oṣelu ẹgbẹ tabi ẹni to jẹ alatako fun ẹni to bẹ wọn niṣẹ ru. Igba miran, wọn a ba awọn dukia ẹgbẹ bẹ jẹ.,Lọjọ idibo waye, ọpọ igba ni iroyin ti jade nipa bi awọn janduku oloṣelu ṣe yabo ibudo, ti wọn yoo si ji apoti ibo salọ. Bakan naa ni wọn a maa dẹru ba awọn oludibo tabi tilẹ ṣe wọn ni ijamba. ,Eyi si maa n mu ki ọpọlọpọ eniyan ma a kopa ninu eto idibo nitori ibẹru pe nkan buruku le ṣẹlẹ si wọn.,Ọpọlọpọ awọn janduku naa ni ko ni iṣẹ ọwọ, okoowo tabi iṣẹ to n mu owo wọle fun wọn. Orisun atijẹ atimu wsn ko ṣẹyin ṣiṣe janduku. Ti eto idibo, oṣelu ba kasẹ nilẹ, wọn a di 'alainiṣẹ lọwọ.' ,Eyi si le mu ki ọpọlọpọ wọn sọ ole jija, tabi awọn ọna alumọkọrọyi mi i di orisun ọrọ aje wọn.,Lọdun 2018 ni iṣẹlẹ idigunjale kan waye nilu Ọffa, ni ipinlẹ Kwara. Iṣẹlẹ naa mu ẹmi awọn eniyan to niye lọ. ,Lẹyin iṣẹlẹ naa, ni ọwọ awọn ọlọpa tẹ awọn afurasi kan to sọ pe Aarẹ ile aṣofin àgbà Naijiria, Bukọla Saraki ni awọn n ṣiṣẹ fun, botilẹ jẹ wi pe iwadi kankan ko ti i fi mulẹ pe lootọ Saraki ni wọn n ṣiṣẹ fun. ,Ṣugbọn ohun kan to han sita faye ri ni pe janduku oloṣelu ni awọn afurasi ole ọhun.,O si ṣeeṣe ko jẹ wi pe nigba ti owo oloṣelu ko wọle fun wọn mọ, ni wọn gba oko olè lọ nitori atijẹ, ati atimu.,Eto idibo ọdun 2011 yọri si wahala ni ẹkùn Ariwa Naijiria. Awọn kan gbagbọ pe iyanjẹ ati mago-mago lo gbe Aarẹ nigba kan, Goodluck  Jonathan wọle sipo aarẹ, ti wọn si bẹrẹ si ni fa wahala. ,Ajọ to n woye nipa ẹtọ ọmọniyan ni Naijiria, , lọjọ keji ọjọ ti wọn kede esi ibo, ọjọ kẹtadinlogun, oṣu Kẹrin ni awọn ololufẹ Muhammadu Buhari bẹrẹ iwọde ni Ariwa Naijiria. ,Awọn ọdọ to n fa wahala lẹyin eto idibo ọdun 2011 ni Naijiria,Iwọde naa pada yọri si rogbodiyan ni ẹkùn naa, ti ọpọlọpọ ile, ile ijọsin, ile itaja ati awọn dukia mi si ti di bibajẹ tabi jijo ni ina. ,Awọn eniyan kan si padanu ẹmi wọn.,Ipaniyan naa ko yọ awọn ọdọ to n sinru ilu silẹ. Ni ipinlẹ Bauchi, awọn agunbanirọ to le ni maarun ni iroyin gbe e pe awọn onijagidija gan ọhun pa. Awọn agunbanirọ naa ba ajọ INEC ṣiṣẹ ninu eto idibo naa. ,Bakan naa ni ipinlẹ Kaduna. Janduku oṣelu yọri si ija ẹsin laarin awọn kristẹni ati musulumi. Ọpọ eniyan lo si tun padanu ẹmi ati dukia wọn.,Ṣaaju eto idibo naa ni iroyin gbe e pe awọn janduku oloṣelu yabo iwọde oṣelu ẹgbẹ APC ninu oṣu Kẹfa. Ọkan gboogi lara ọmọ ẹgbẹ, Ọpẹyẹmi Bamidele atawọn mi i fara gba ọta ibọn.,Ìṣẹlẹ iyinbon APC Ekiti : Ki gaan lo ṣẹlẹ?,Bakan naa ni eto idibo gomina to waye ni ipinlẹ Ọṣun, rogbodiyan waye, paapa lẹyin ti eto idibo naa waye ati lasiko atundi ibo.,Awọn janduku oṣelu ji apoti ibo lawọn ibi kan, awọn eniyan kan si farapa.,Pẹlu bi eto idibo gbogboogbo ọdun 2019 ṣe n bọ lọna ni Naijiria, ṣe kii ṣe pe asiko tun ti to fun awọn janduku oloṣelu lati tun ri iṣẹ sẹ? ,Ṣe awọn agbegbe to ti n ni iriri alaafia ko tun ni bọ si inu ibẹru ohun ti awọn onijagidijagan naa le ṣe lati de ipo, tabi fun oludije wọn lati de ipo?"
