headline,co_headline,period
,,Ìròyìn
,,
,,"February 23, 2022"
,,
,,
"Faith Adebọla Gomina ipinlẹ Kano tẹlẹ, Sẹnetọ Rabiu Musa Kwankwaso, ti sọ pe ko si iyatọ…",,
,,Ìròyìn
,,
,,"February 22, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Bo tilẹ jẹ pe eeyan marun-un nileeṣẹ ọlọpaa sọ pe wọn ti gbẹmi…",,
,,Ìròyìn
,,
,,"February 22, 2022"
,,
,,
"Faith Adebọla Oloye Oluṣẹgun Arẹmu Ọbasanjọ, olori orileede wa tẹlẹ, ti gba awọn oloṣelu lamọran pe…",,
,,Ìròyìn
,,
,,"February 22, 2022"
,,
,,
"Faith Adebọla Minisita tẹlẹ fun eto omi, Abilekọ Sarah Ochekpe, ti rẹwọn he, ọdun mẹta nile-ẹjọ…",,
,,Ìròyìn
,,
,,"February 22, 2022"
,,
,,
"Adefunkẹ Adebiyi, Abẹokuta Niṣe lẹjẹ eeyan n ṣan nilẹ bii omi, bi aya eeyan ko ba…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
Jọkẹ Amọri Afi ki gbogbo awọn ti wọn maa n fi awọn ọmọ wọn silẹ fun…,,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Adefunkẹ Adebiyi, Abẹokuta Titi dasiko yii lawọn eeyan ṣi n wararo lagbegbe Ajebandele, loju ọna marosẹ…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Oluṣẹyẹ Iyiade, Akurẹ Ọwọ ọlọpaa Ẹnu-Ọwa, to wa niluu Ondo, ti tẹ ọkunrin ẹni ọdun marundinlaaadọta…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
Believe Bọla Ẹgbẹ oṣelu All Progressives Congress (APC) ti wọgi le apero gbogbogboo wọn to yẹ…,,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Jọkẹ Amọri Inu odo kan ti wọn n pe ni Rayfield Resort, to wa niluu Jos,…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Faith Adebọla  Gbajugbaja ọga ọlọpaa ọtẹlẹmuyẹ nni, Abba Kyari, ti wọn fẹsun kan pe o n…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Ọjọbọ, Tọsidee, ọsẹ to kọja, ni awọn agbebọn kan ji iyaale ile kan gbe, Salimot Ajibọla,…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Ọlawale Ajao, Ibadan Aṣaaju ẹgbẹ oṣelu APC, Oloye Bọla Ahmed Tinubu, ti pinnu lati na an…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Oluṣẹyẹ Iyiade, Ondo Awọn eeyan ilu Igasi Akoko to wa ni Ariwa-Iwọ Oorun ipinlẹ Ondo ko…",,
,,Ìròyìn
,,
,,"February 21, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Wahala ẹgbẹ oṣelu PDP ipinlẹ Ọṣun tun gba ibomi-in yọ lọjọ Aiku, Sannde,…",,
,,Ìròyìn
,,
,,"February 20, 2022"
,,
,,
"Ibrahim Alagunmu, Ilọrin Bi eeyan ba jori ahun, omije yoo da loju ẹ lọjọ Aiku, Sannde,…",,
,,Ìròyìn
,,
,,"February 20, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Wahala bẹ silẹ ni Wọọdu kẹfa to wa ni Odogbo, nijọba ibilẹ Atakunmọsa,…",,
,,Ìròyìn
,,
,,"February 20, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Alaga igbimọ to ṣeto idibo abẹle fun ẹgbẹ oṣelu APC nipinlẹ Ọṣun, Alhaji…",,
,,Ìròyìn
,,
,,"February 19, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Minisita fun ọrọ abẹle lorileede yii, Ọgbẹni Rauf Adesọji Arẹgbẹṣọla, ti sọ fun…",,
,,Ìròyìn
,,
,,"February 19, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Pẹlu esi idibo to n wọle lọwọlọwọ bayii kaakiri wọọdu idibo to wa…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Ọlawale Ajao, Ibadan Lati le mu idagbasoke ba ede Yoruba, gbogbo awọn to wa nidii akoso…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Adefunkẹ Adebiyi, Abẹokuta Igbimọ to n ri si ọrọ ọba jijẹ nipinlẹ Ogun ti fọwọ si…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Awọn oludije mẹtẹẹta ti wọn fẹẹ kopa ninu eto idibo abẹle ẹgbẹ oṣelu…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Adefunkẹ Adebiyi, Abẹokuta Ko din leeyan mẹtadinlogun to jona ku laaarọ ọjọ Ẹti, Furaidee, ọjọ kejidinlogun,…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Ibrahim Alagunmu, Ilọrin Ọjọbọ, Tọsidee, ọṣẹ yii, ni ajọ to n gbogun ti iwa jibiti ati…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Faith Adebọla Yoruba bọ, wọn ni iṣu atẹnumọrọ ki i jona, ohun to ba si n…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Adefunkẹ Adebiyi, Abẹokuta ‘Ajagbe Youngest Nation’ (AYN), ni wọn n pe ara wọn. Ọmọ ileewe Ajagbe…",,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Jọkẹ Amọri  Ọkan pataki ninu awọn aṣaaju awọn eeyan ẹya Ijaw, Niger Delta, Edwin Clark, ti…",,
,,Ìròyìn
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Adefunkẹ Adebiyi, Abẹokuta Titi ta a fi pari iroyin yii, ko ti i sẹni to gbọ…",,
,,Ìròyìn
,,
,,"February 11, 2022"
,,
,,"February 17, 2022"
,,
,,
"Faith Adebọla, Eko Meje lara awọn ọmọ ganfe to n digunjale loju popo lagbegbe Ikẹja ati…",,
,,Ìròyìn
,,Ìròyìn
,,
,,Ìròyìn
,,
,,"February 18, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Gomina ipinlẹ Ọṣun tẹlẹ, Ọgbẹni Rauf Adesọji Arẹgbẹṣọla, ti sọ pe aṣiṣe nla…",,
,,Ìròyìn
,,
,,
"Florence Babaṣọla, Oṣogbo Bonkẹlẹ ni Oluwoo, Ọba Abdulrosheed Adewale Akanbi, kọ lẹta naa, titi di ba a…",,
,,Ìròyìn
,,
,,"February 11, 2022"
,,
,,
,,"February 17, 2022"
,,
,,
